ID,gender,BMI,lung,shortRun,jump,knee,longRun,upDown
2020104682,1.0,23.49617941127024,4213.0,7.3,210.0,1.5,295.0,0.0
2020101634,1.0,17.0499454251195,3212.0,8.2,220.0,9.6,286.0,10.0
2020104687,1.0,19.206276989148453,2938.0,7.8,204.0,2.6,266.0,6.0
2020101635,1.0,24.90860521378347,3803.0,8.1,190.0,16.9,272.0,
2020104692,0.0,24.344632264460195,3609.0,9.1,163.0,12.3,262.0,55.0
2020104697,0.0,19.581577483459885,2457.0,9.9,175.0,23.8,444.0,43.0
2020101637,1.0,24.67794226208822,3509.0,8.5,206.0,9.2,273.0,2.0
2020104702,1.0,19.757769135844956,3043.0,7.9,203.0,3.3,257.0,2.0
2020101638,1.0,23.668860389517214,4113.0,8.3,213.0,25.5,288.0,4.0
2020104708,0.0,20.532220274998274,2013.0,9.7,155.0,16.0,261.0,50.0
2020101639,1.0,26.690857193237672,3720.0,8.6,203.0,18.4,241.0,8.0
2020104713,0.0,20.234374999999996,2396.0,9.3,175.0,20.3,257.0,42.0
2020101640,1.0,16.760694811691327,3391.0,8.2,240.0,11.3,242.0,0.0
2020101641,0.0,16.230545887360016,2025.0,10.2,155.0,25.6,231.0,34.0
2020101642,1.0,20.030656849277115,1001.0,7.8,225.0,8.1,301.0,9.0
2020101643,1.0,21.832586413048436,3602.0,8.6,220.0,24.7,272.0,
2020104733,1.0,,,,,,,
2020101644,1.0,30.953094657821683,4097.0,8.2,250.0,-8.0,355.0,0.0
2020101645,1.0,17.206126306855445,3223.0,7.9,218.0,22.2,243.0,
2020101646,0.0,19.360205591476237,2420.0,9.3,174.0,18.8,244.0,30.0
2020101647,1.0,18.738102077355418,2477.0,7.6,205.0,23.3,242.0,11.0
2020101648,1.0,22.234637765415574,3288.0,8.1,225.0,20.2,,7.0
2020101649,0.0,18.740622033500394,2212.0,9.3,160.0,23.7,286.0,36.0
2020101650,1.0,27.593514420370635,3595.0,8.2,210.0,13.2,297.0,0.0
2020101651,1.0,15.727840460112082,1577.0,8.0,243.0,7.2,302.0,1.0
2020101652,1.0,22.489917670583715,3453.0,8.1,208.0,8.6,333.0,5.0
2020101653,1.0,17.151494627834513,2700.0,8.2,230.0,-18.0,,3.0
2020101654,1.0,25.697959183673472,4426.0,7.9,253.0,15.5,304.0,8.0
2020101655,0.0,21.657284233927356,3187.0,8.7,200.0,13.3,226.0,42.0
2020104793,0.0,17.57933626950536,2644.0,10.0,190.0,23.0,235.0,52.0
2020101656,0.0,18.36322458223664,2246.0,9.7,158.0,27.7,301.0,30.0
2020101657,1.0,26.01818792038569,2717.0,7.9,250.0,16.2,295.0,5.0
2020104803,0.0,22.310147117579966,3107.0,8.8,185.0,17.0,,50.0
2020101658,1.0,28.472022726547287,3973.0,7.8,228.0,-4.8,267.0,0.0
2020104808,1.0,20.30957438951809,2155.0,8.8,211.0,11.6,349.0,3.0
2020101659,1.0,18.965612156252476,3121.0,7.4,220.0,23.5,268.0,10.0
2020104813,0.0,19.716303434689166,5200.0,8.1,204.0,33.9,185.0,43.0
2020101660,1.0,,,,,,,
2020101661,1.0,20.55696481786493,3311.0,8.2,200.0,10.0,275.0,4.0
2020104823,1.0,29.681185940376213,4155.0,8.4,236.0,12.0,319.0,20.0
2020101662,0.0,19.971330675928442,2126.0,7.8,138.0,7.8,,31.0
2020104828,0.0,,,,,,,
2020101663,1.0,19.691947173157093,2875.0,7.6,255.0,7.2,245.0,2.0
2020101665,1.0,22.538633830589845,3771.0,8.0,215.0,10.8,,0.0
2020101666,0.0,20.19897076864282,2370.0,9.6,179.0,27.3,,40.0
2020101667,1.0,20.256045985665008,3587.0,8.0,243.0,7.5,242.0,8.0
2020101668,1.0,24.210621143191748,4239.0,7.9,243.0,18.3,,0.0
2020101669,0.0,21.028022178259057,2207.0,,153.0,22.2,,55.0
2020101670,1.0,17.788243806403838,2294.0,7.9,250.0,8.8,268.0,0.0
2020101671,1.0,19.37753152072949,3393.0,7.8,215.0,12.0,,2.0
2020101672,1.0,24.54108591490829,4400.0,7.9,224.0,9.3,242.0,0.0
2020101673,1.0,18.897160326162894,2201.0,,236.0,10.0,,14.0
2020101674,1.0,26.84397177471028,3641.0,7.4,214.0,22.9,308.0,0.0
2020101675,1.0,,,,,,,
2020101676,1.0,25.014653052973472,6452.0,8.2,245.0,9.5,297.0,0.0
2020101677,1.0,25.356724420201584,3312.0,8.0,250.0,19.6,276.0,7.0
2020101678,1.0,28.527994677991014,4386.0,8.4,190.0,-6.0,326.0,0.0
2020101679,1.0,24.3775977696368,3332.0,9.1,226.0,27.2,277.0,5.0
2020101680,1.0,20.503868280103152,3688.0,8.1,255.0,11.2,236.0,0.0
2020101681,1.0,20.538775510204083,2746.0,9.3,205.0,14.4,304.0,11.0
2020101682,1.0,28.229363579080022,3854.0,9.7,200.0,9.2,285.0,4.0
2020101683,0.0,16.181223822733223,1452.0,9.3,180.0,20.8,,38.0
2020101684,1.0,30.35872843309257,4175.0,8.4,215.0,13.2,334.0,0.0
2020101685,1.0,18.969989920802675,3608.0,8.9,200.0,11.8,,7.0
2020101686,0.0,22.055486334097694,1148.0,9.5,170.0,28.1,309.0,40.0
2020101687,1.0,26.665127714489145,279.0,8.1,225.0,20.5,323.0,0.0
2020101688,1.0,23.071541253863355,3222.0,8.4,216.0,18.0,294.0,10.0
2020101689,1.0,23.214970312645967,2946.0,8.2,220.0,11.3,247.0,0.0
2020101690,1.0,19.3539763867231,3507.0,8.2,180.0,2.7,274.0,11.0
2020101691,1.0,,,,,,,
2020101692,1.0,28.04201347602061,3205.0,8.4,215.0,7.3,258.0,0.0
2020101693,0.0,17.360212549384947,3214.0,9.5,160.0,8.9,287.0,28.0
2020101694,1.0,24.545868701202807,3533.0,8.1,230.0,20.2,305.0,
2020101695,1.0,28.906321540856506,3722.0,9.1,200.0,25.0,273.0,1.0
2020101696,0.0,23.716477752168302,2069.0,9.8,156.0,21.0,272.0,46.0
2020101697,1.0,20.24435372848111,3668.0,7.8,239.0,15.4,289.0,2.0
2020101698,0.0,16.1353938828929,2196.0,9.6,200.0,3.3,277.0,34.0
2020101699,0.0,18.8753775504496,2948.0,9.8,170.0,22.6,,46.0
2020101700,1.0,21.966382807024996,3500.0,7.8,252.0,15.6,245.0,6.0
2020101701,0.0,20.166947250280582,2603.0,9.5,156.0,17.8,,50.0
2020101702,0.0,16.870341649760125,2520.0,9.9,162.0,20.7,271.0,44.0
2020101703,0.0,18.52723973742603,3244.0,9.1,203.0,23.3,313.0,48.0
2020101704,1.0,21.72595071796959,3512.0,7.9,210.0,8.5,,6.0
2020101705,1.0,22.69498966942149,3271.0,7.2,252.0,15.7,241.0,11.0
2020101706,1.0,20.2800898401374,3461.0,7.6,255.0,10.8,,4.0
2020101707,1.0,22.90914214699664,3524.0,11.0,215.0,9.6,,11.0
2020101708,1.0,22.993827160493826,4796.0,7.6,245.0,20.2,253.0,8.0
2020101709,1.0,23.001349412498868,3619.0,7.9,220.0,17.8,244.0,0.0
2020101710,1.0,18.845694295817122,2759.0,8.1,230.0,9.0,309.0,12.0
2020101711,1.0,22.990854748888776,2585.0,7.5,238.0,7.6,246.0,13.0
2020101712,1.0,28.86827336615775,3284.0,7.7,225.0,7.4,254.0,5.0
2020101713,1.0,27.379442447878617,4202.0,10.2,247.0,13.0,,9.0
2020101714,1.0,19.3077367908449,3959.0,7.4,260.0,15.8,275.0,1.0
2020101715,1.0,19.883853048857468,2948.0,7.3,260.0,7.1,238.0,5.0
2020101716,1.0,18.14030162786532,2187.0,7.6,210.0,6.0,278.0,5.0
2020101717,1.0,22.909477454455953,3923.0,8.1,240.0,15.0,265.0,12.0
2020101719,1.0,17.946959304983995,3084.0,8.3,205.0,3.3,243.0,10.0
2020101720,1.0,21.48780003967467,2948.0,8.1,255.0,12.1,283.0,11.0
2020101721,1.0,18.359975114365163,1881.0,8.8,260.0,0.9,242.0,19.0
2020101722,0.0,17.529430787121967,2178.0,9.0,180.0,18.7,254.0,43.0
2020101723,1.0,22.196789082448813,2527.0,7.9,250.0,23.6,209.0,20.0
2020101724,1.0,22.313033128347552,3305.0,8.0,240.0,3.6,292.0,12.0
2020101725,0.0,19.13506423363296,2787.0,9.4,185.0,19.3,248.0,55.0
2020101726,0.0,19.148284313725494,2274.0,10.6,150.0,7.5,288.0,28.0
2020101727,0.0,,,,,,,
2020101731,0.0,25.06251388406309,2753.0,10.4,165.0,25.6,336.0,56.0
2020101732,0.0,21.866666666666667,2521.0,9.7,171.0,8.5,235.0,50.0
2020101734,1.0,18.933881293614903,3777.0,7.2,250.0,17.0,,15.0
2020101735,0.0,19.759092245858252,2223.0,9.1,200.0,17.1,225.0,45.0
2020101736,0.0,21.5164159458233,2467.0,8.5,190.0,16.7,235.0,53.0
2020101737,0.0,25.173119764391238,2829.0,10.9,123.0,-1.8,,45.0
2020101738,1.0,,,,,,,
2020101739,1.0,20.729347474026028,2938.0,7.5,263.0,19.5,246.0,20.0
2020101740,0.0,24.971636693248414,2663.0,10.2,130.0,14.7,281.0,43.0
2020101741,1.0,22.656161878115014,4115.0,7.8,215.0,17.7,241.0,2.0
2020101743,1.0,38.96718683819316,3432.0,9.7,180.0,31.2,,0.0
2020101744,1.0,24.47896643267776,5519.0,7.9,235.0,20.2,,2.0
2020101745,0.0,19.468457819434363,2092.0,9.9,150.0,29.8,285.0,29.0
2020101746,0.0,21.152440700335777,2669.0,10.6,150.0,30.8,252.0,43.0
2020101747,0.0,24.74731533005549,2307.0,10.2,157.0,23.4,,38.0
2020101748,0.0,19.76954470505045,2409.0,9.2,189.0,13.8,,41.0
2020101750,1.0,28.427468215847227,3211.0,8.3,226.0,14.4,,5.0
2020101751,1.0,20.97230762195111,3427.0,7.3,250.0,12.1,211.0,11.0
2020101752,0.0,21.847527300151697,2216.0,,162.0,15.6,268.0,39.0
2020101753,0.0,19.188712522045858,2648.0,,172.0,30.8,244.0,50.0
2020101754,0.0,25.96826241207002,3113.0,10.0,175.0,20.7,,36.0
2020101755,0.0,20.762351792148376,2892.0,9.4,180.0,15.0,229.0,50.0
2020101756,0.0,,,,,,,
2020101757,1.0,22.233198104830937,4092.0,7.7,245.0,30.1,,19.0
2020101759,0.0,18.97423724534347,2701.0,9.4,181.0,18.7,213.0,50.0
2020101760,0.0,19.008127734618377,3083.0,,,25.5,,43.0
2020101761,0.0,17.54960876821826,2931.0,,170.0,22.3,183.0,46.0
2020101762,0.0,17.22448041130163,2039.0,12.4,120.0,23.9,289.0,30.0
2020101763,0.0,18.804494088638528,2753.0,9.8,160.0,21.5,275.0,27.0
2020101764,0.0,21.073251924033798,2371.0,7.4,195.0,11.0,253.0,50.0
2020101765,1.0,16.57260593030547,3570.0,8.0,220.0,8.8,221.0,15.0
2020101766,0.0,17.796780743661238,1767.0,9.6,197.0,28.5,287.0,46.0
2020101767,0.0,16.79750888118942,2151.0,10.1,,17.1,303.0,38.0
2020101768,0.0,20.23875114784206,2730.0,9.0,183.0,5.5,276.0,37.0
2020101769,0.0,19.594469339939387,2106.0,10.7,178.0,23.4,,47.0
2020101770,0.0,19.040274766940065,2350.0,10.2,190.0,18.2,281.0,45.0
2020101771,0.0,19.70791024141769,2369.0,9.6,155.0,21.7,,31.0
2020101773,0.0,20.529473792260394,93.0,10.4,153.0,22.8,363.0,43.0
2020101776,0.0,17.540887449035534,2207.0,9.7,160.0,12.0,269.0,48.0
2020101777,0.0,19.25354151133722,2316.0,9.3,165.0,21.2,261.0,42.0
2020101780,0.0,18.244415289383543,2201.0,9.6,165.0,8.8,262.0,54.0
2020101781,1.0,25.82815708615076,3654.0,8.1,237.0,8.3,322.0,0.0
2020101782,1.0,22.29085564018849,2994.0,7.7,243.0,8.2,249.0,0.0
2020101783,1.0,21.312785232678294,4284.0,9.4,234.0,8.6,233.0,10.0
2020101784,0.0,20.36329253080126,2352.0,9.7,170.0,10.2,233.0,50.0
2020101785,1.0,18.19565116992134,3106.0,8.1,195.0,14.9,292.0,2.0
2020101786,0.0,23.44265043559673,2475.0,9.4,160.0,20.6,,48.0
2020101787,0.0,24.307516678177468,3037.0,9.2,200.0,26.1,253.0,43.0
2020101788,1.0,18.639542207460124,3938.0,7.9,230.0,11.5,281.0,5.0
2020101789,1.0,23.944907327464737,2703.0,7.8,200.0,5.2,258.0,6.0
2020101790,1.0,25.407145562428987,5043.0,8.6,225.0,12.7,185.0,0.0
2020101791,1.0,19.252619618735007,4986.0,6.9,261.0,21.3,185.0,7.0
2020101792,1.0,20.034105357058856,2705.0,8.0,215.0,9.2,,14.0
2020101793,1.0,20.398937526525096,5258.0,6.8,280.0,18.1,196.0,15.0
2020101794,1.0,22.755965155914655,3929.0,7.6,234.0,26.3,243.0,26.0
2020101795,0.0,19.809242152889052,2573.0,10.1,170.0,13.2,266.0,40.0
2020101796,1.0,19.515010506001495,2980.0,7.2,250.0,11.1,266.0,22.0
2020101797,1.0,20.39483234141385,3865.0,7.8,238.0,24.7,243.0,23.0
2020101798,1.0,22.560269104128135,4725.0,8.0,220.0,21.3,264.0,
2020101799,0.0,24.90494154234884,2266.0,9.8,152.0,16.4,243.0,41.0
2020101800,1.0,24.9544981821016,4019.0,7.9,215.0,13.6,251.0,
2020101801,0.0,18.94584326529522,1908.0,9.3,180.0,10.2,289.0,37.0
2020101802,1.0,18.73795495360605,2583.0,8.1,230.0,-1.8,277.0,3.0
2020101803,1.0,19.321610678432112,4034.0,8.0,237.0,10.7,252.0,11.0
2020101804,0.0,21.751481210940668,2257.0,9.7,165.0,7.0,237.0,37.0
2020101805,0.0,19.063952257098915,2943.0,9.8,185.0,30.3,238.0,57.0
2020101806,0.0,20.23875114784206,1840.0,9.5,190.0,13.8,281.0,41.0
2020101807,0.0,18.68924233106335,2609.0,10.1,160.0,25.2,,33.0
2020101808,1.0,26.938514311526855,4076.0,7.5,238.0,14.8,245.0,14.0
2020101811,0.0,30.377188038754483,2762.0,9.2,170.0,19.2,,60.0
2020101812,1.0,21.77061378826473,3830.0,6.9,268.0,13.8,235.0,
2020101813,1.0,28.600287208504795,3961.0,7.7,240.0,10.2,279.0,0.0
2020101814,0.0,27.055511543684926,3461.0,10.4,175.0,31.6,243.0,38.0
2020101815,0.0,18.430457558513783,2624.0,10.6,197.0,25.2,242.0,39.0
2020101816,0.0,23.956278763971067,1865.0,9.5,140.0,19.3,257.0,53.0
2020101817,0.0,19.189419449064868,1002.0,9.3,150.0,23.1,241.0,48.0
2020101818,0.0,18.419937740610436,2848.0,10.6,170.0,25.8,296.0,39.0
2020101819,0.0,20.118873561490037,2368.0,10.2,155.0,18.2,281.0,46.0
2020101820,1.0,21.191150632866005,3177.0,7.9,220.0,15.3,315.0,5.0
2020101821,1.0,19.800743270779563,3133.0,7.2,240.0,14.8,223.0,4.0
2020101822,1.0,19.364975788986953,3940.0,8.3,205.0,12.4,294.0,0.0
2020101823,0.0,21.271851806918807,1779.0,10.1,168.0,12.3,247.0,35.0
2020101824,1.0,24.144181115556925,2505.0,7.8,210.0,-3.7,,0.0
2020101825,1.0,21.89814997658555,3112.0,9.0,200.0,12.3,299.0,
2020101826,0.0,20.162613213725006,2472.0,9.5,175.0,17.6,279.0,41.0
2020101827,0.0,25.452267209648372,2793.0,9.7,155.0,23.3,302.0,43.0
